# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=2097152 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,6800,1056,5744,0,12,1,0,0,0,503376,84115456,663552,0,0,0
1009,42,0,7984,2176,5808,0,76,33,16,16,16,13427504,84115456,13574144,42,26,0
2007,82,0,8160,2352,5808,0,76,33,16,16,16,13427504,84115456,13574144,82,66,0
3012,122,0,8320,2512,5808,0,76,33,16,16,16,13427504,84115456,13574144,122,106,0
4002,161,0,8488,2680,5808,0,76,33,16,16,16,13427504,84115456,13574144,161,145,0
5007,202,0,8652,2844,5808,0,76,33,16,16,16,13427504,84115456,13574144,202,186,0
6017,243,0,8812,3004,5808,0,76,33,16,16,16,13427504,84115456,13574144,243,227,0
7019,283,0,8976,3168,5808,0,76,33,16,16,16,13427584,84115456,13574144,283,267,0
8002,322,0,9136,3328,5808,0,76,33,16,16,16,13427584,84115456,13574144,322,306,0
9006,362,0,9292,3484,5808,0,76,33,16,16,16,13427584,84115456,13574144,362,346,0
10013,402,0,9456,3648,5808,0,76,33,16,16,16,13427584,84115456,13574144,402,386,0
11003,442,0,9620,3812,5808,0,76,33,16,16,16,13427584,84115456,13574144,442,426,0
12021,483,0,9776,3968,5808,0,76,33,16,16,16,13427584,84115456,13574144,483,467,0
13019,523,0,9940,4132,5808,0,76,33,16,16,16,13427584,84115456,13574144,523,507,0
14012,563,0,10088,4280,5808,0,76,33,16,16,16,13427584,84115456,13574144,563,547,0
15014,603,0,10244,4436,5808,0,76,33,16,16,16,13427584,84115456,13574144,603,587,0
16005,643,0,10400,4592,5808,0,76,33,16,16,16,13427584,84115456,13574144,643,627,0
17021,684,0,10556,4748,5808,0,76,33,16,16,16,13427584,84115456,13574144,684,668,0
18019,724,0,10708,4900,5808,0,76,33,16,16,16,13427584,84115456,13574144,724,708,0
19010,764,0,10864,5056,5808,0,76,33,16,16,16,13427584,84115456,13574144,764,748,0
20014,804,0,11020,5212,5808,0,76,33,16,16,16,13427584,84115456,13574144,804,788,0
21018,844,0,11176,5368,5808,0,76,33,16,16,16,13427584,84115456,13574144,844,828,0
22001,883,0,11324,5516,5808,0,76,33,16,16,16,13427584,84115456,13574144,883,867,0
23008,923,0,11496,5688,5808,0,76,33,16,16,16,13427584,84115456,13574144,923,907,0
24022,964,0,11652,5844,5808,0,76,33,16,16,16,13427584,84115456,13574144,964,948,0
25007,1004,0,11808,6000,5808,0,76,33,16,16,16,13427584,84115456,13574144,1004,988,0
26002,1044,0,11960,6152,5808,0,76,33,16,16,16,13427584,84115456,13574144,1044,1028,0
27023,1085,0,12124,6316,5808,0,76,33,16,16,16,13427584,84115456,13574144,1085,1069,0
28001,1124,0,12280,6472,5808,0,76,33,16,16,16,13427584,84115456,13574144,1124,1108,0
29022,1165,0,12444,6636,5808,0,76,33,16,16,16,13427584,84115456,13574144,1165,1149,0
30003,1204,0,12592,6784,5808,0,76,33,16,16,16,13427584,84115456,13574144,1204,1188,0
31023,1245,0,12748,6940,5808,0,76,33,16,16,16,13427584,84115456,13574144,1245,1229,0
32001,1284,0,12904,7096,5808,0,76,33,16,16,16,13427584,84115456,13574144,1284,1268,0
33024,1325,0,13060,7252,5808,0,76,33,16,16,16,13427584,84115456,13574144,1325,1309,0
34010,1364,0,13208,7400,5808,0,76,33,16,16,16,13427584,84115456,13574144,1364,1348,0
35012,1404,0,13372,7564,5808,0,76,33,16,16,16,13427584,84115456,13574144,1404,1388,0
36017,1443,0,13516,7708,5808,0,76,33,16,16,16,13427584,84115456,13574144,1443,1427,0
37017,1483,0,13664,7856,5808,0,76,33,16,16,16,13427584,84115456,13574144,1483,1467,0
