# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,6800,1056,5744,0,12,1,0,0,0,503376,393216,663552,0,0,0
1007,41,0,7928,2120,5808,0,76,33,16,16,16,13427584,393216,13574144,41,25,0
2010,82,0,7960,2152,5808,0,76,33,16,16,16,13427584,393216,13574144,82,66,0
3021,122,0,7972,2164,5808,0,76,33,16,16,16,13427584,393216,13574144,122,106,0
4019,162,0,7980,2172,5808,0,76,33,16,16,16,13427584,393216,13574144,162,146,0
5014,202,0,7984,2176,5808,0,76,33,16,16,16,13427584,393216,13574144,202,186,0
6007,242,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,242,226,0
7007,282,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,282,266,0
8023,323,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,323,307,0
9018,363,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,363,347,0
10012,403,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,403,387,0
11015,443,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,443,427,0
12026,484,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,484,468,0
13010,523,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,523,507,0
14010,563,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,563,547,0
15015,603,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,603,587,0
16004,642,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,642,626,0
17012,683,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,683,667,0
18018,723,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,723,707,0
19011,763,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,763,747,0
20012,803,0,7992,2184,5808,0,76,33,16,16,16,13427584,393216,13574144,803,787,0
21007,843,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,843,827,0
22009,883,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,883,867,0
23003,923,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,923,907,0
24008,963,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,963,947,0
25012,1003,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1003,987,0
26008,1043,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1043,1027,0
27009,1083,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1083,1067,0
28012,1123,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1123,1107,0
29022,1163,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1163,1147,0
30022,1203,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1203,1187,0
31005,1242,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1242,1226,0
32009,1282,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1282,1266,0
33015,1322,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1322,1306,0
34018,1362,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1362,1346,0
35021,1402,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1402,1386,0
36021,1442,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1442,1426,0
37022,1482,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1482,1466,0
38022,1522,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1522,1506,0
39017,1563,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1563,1547,0
40016,1603,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1603,1587,0
41012,1643,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1643,1627,0
42018,1683,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1683,1667,0
43013,1723,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1723,1707,0
44021,1763,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1763,1747,0
45022,1803,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,1803,1787,0
