# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,6800,1056,5744,0,12,1,0,0,0,503376,393216,663552,0,0,0
1011,41,0,7932,2124,5808,0,76,33,16,16,16,13430512,393216,13578240,41,25,0
2010,81,0,8000,2192,5808,0,76,33,16,16,16,13434352,393216,13578240,81,65,0
3015,121,0,8080,2272,5808,0,76,33,16,16,16,13438304,393216,13578240,121,105,0
4013,161,0,8092,2284,5808,0,76,33,16,16,16,13442400,393216,13578240,161,145,0
5015,201,0,8152,2344,5808,0,76,33,16,16,16,13446352,393216,13578240,201,185,0
6017,241,0,8168,2360,5808,0,76,33,16,16,16,13450192,393216,13578240,241,225,0
7024,281,0,8208,2400,5808,0,76,33,16,16,16,13454048,393216,13578240,281,265,0
8021,321,0,8248,2440,5808,0,76,33,16,16,16,13457888,393216,13578240,321,305,0
9021,361,0,8280,2472,5808,0,76,33,16,16,16,13461744,393216,13578240,361,345,0
10020,401,0,8328,2520,5808,0,76,33,16,16,16,13465488,393216,13578240,401,385,0
11002,440,0,8368,2560,5808,0,76,33,16,16,16,13469232,393216,13578240,440,424,0
12016,481,0,8400,2592,5808,0,76,33,16,16,16,13473264,393216,13578240,481,465,0
13020,521,0,8404,2596,5808,0,76,33,16,16,16,13477104,393216,13578240,521,505,0
14005,560,0,8440,2632,5808,0,76,33,16,16,16,13480752,393216,13578240,560,544,0
15000,600,0,8484,2676,5808,0,76,33,16,16,16,13484688,393216,13578240,600,584,0
16024,641,0,8516,2708,5808,0,76,33,16,16,16,13488640,393216,13578240,641,625,0
17003,681,0,8524,2716,5808,0,76,33,16,16,16,13492480,393216,13578240,681,665,0
18004,721,0,8568,2760,5808,0,76,33,16,16,16,13496320,393216,13578240,721,705,0
19003,761,0,8600,2792,5808,0,76,33,16,16,16,13500064,393216,13578240,761,745,0
20022,802,0,8624,2816,5808,0,76,33,16,16,16,13504096,393216,13725696,802,786,0
21010,841,0,9540,3732,5808,0,76,33,16,16,16,13507776,393216,13725696,841,825,0
22012,881,0,9976,4168,5808,0,76,33,16,16,16,13511616,393216,13725696,881,865,0
23011,921,0,10304,4496,5808,0,76,33,16,16,16,13515440,393216,13725696,921,905,0
24013,961,0,10496,4688,5808,0,76,33,16,16,16,13519296,393216,13725696,961,945,0
25010,1001,0,10564,4756,5808,0,76,33,16,16,16,13523520,393216,13725696,1001,985,0
26016,1041,0,10616,4808,5808,0,76,33,16,16,16,13527344,393216,13725696,1041,1025,0
27018,1081,0,10628,4820,5808,0,76,33,16,16,16,13531280,393216,13725696,1081,1065,0
28024,1121,0,10636,4828,5808,0,76,33,16,16,16,13535152,393216,13725696,1121,1105,0
29006,1160,0,10664,4856,5808,0,76,33,16,16,16,13539264,393216,13893632,1160,1144,0
30019,1201,0,10684,4876,5808,0,76,33,16,16,16,13543136,393216,13893632,1201,1185,0
