# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=2097152 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,7192,1096,6096,0,12,1,0,0,0,508208,84115456,667648,0,0,0
1000,45,0,63392,57232,6160,55296,76,33,16,16,16,13437232,84115456,13578240,45,29,0
2009,91,0,77736,71576,6160,69632,76,33,16,16,16,13437616,84115456,13578240,91,75,0
3012,137,0,83884,77724,6160,75776,76,33,16,16,16,13437616,84115456,13578240,137,121,0
4003,182,0,87984,81824,6160,79872,76,33,16,16,16,13437616,84115456,13578240,182,166,0
5015,228,0,87988,81828,6160,79872,76,33,16,16,16,13437616,84115456,13578240,228,212,0
6000,273,0,87992,81832,6160,79872,76,33,16,16,16,13437616,84115456,13578240,273,257,0
7002,319,0,87992,81832,6160,79872,76,33,16,16,16,13437616,84115456,13578240,319,303,0
8021,366,0,88000,81840,6160,79872,76,33,16,16,16,13437616,84115456,13578240,366,350,0
9001,411,0,88000,81840,6160,79872,76,33,16,16,16,13437616,84115456,13578240,411,395,0
10012,457,0,88008,81848,6160,79872,76,33,16,16,16,13437616,84115456,13578240,457,441,0
11020,503,0,88008,81848,6160,79872,76,33,16,16,16,13437616,84115456,13578240,503,487,0
12014,548,0,88016,81856,6160,79872,76,33,16,16,16,13437616,84115456,13578240,548,532,0
13018,594,0,88020,81860,6160,79872,76,33,16,16,16,13437616,84115456,13578240,594,578,0
14004,639,0,88028,81868,6160,79872,76,33,16,16,16,13437616,84115456,13578240,639,623,0
15006,685,0,88032,81872,6160,79872,76,33,16,16,16,13437616,84115456,13578240,685,669,0
16017,731,0,88040,81880,6160,79872,76,33,16,16,16,13437616,84115456,13578240,731,715,0
17018,775,0,88040,81880,6160,79872,76,33,16,16,16,13437616,84115456,13578240,775,759,0
18017,820,0,88040,81880,6160,79872,76,33,16,16,16,13437616,84115456,13578240,820,804,0
19018,866,0,88044,81884,6160,79872,76,33,16,16,16,13437616,84115456,13578240,866,850,0
20004,911,0,88052,81892,6160,79872,76,33,16,16,16,13437616,84115456,13578240,911,895,0
21007,957,0,88056,81896,6160,79872,76,33,16,16,16,13437616,84115456,13578240,957,941,0
22006,1003,0,88056,81896,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1003,987,0
23010,1049,0,88060,81900,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1049,1033,0
24010,1095,0,88076,81916,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1095,1079,0
25017,1141,0,88080,81920,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1141,1125,0
26019,1187,0,88084,81924,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1187,1171,0
27018,1233,0,88088,81928,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1233,1217,0
28009,1278,0,88088,81928,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1278,1262,0
29003,1323,0,88092,81932,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1323,1307,0
30005,1369,0,88096,81936,6160,79872,76,33,16,16,16,13437616,84115456,13578240,1369,1353,0
