# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,7132,1096,6036,0,12,1,0,0,0,508208,393216,667648,0,0,0
1008,46,0,8124,2024,6100,0,76,33,16,16,16,13437232,393216,13578240,46,30,0
2010,92,0,8164,2064,6100,0,76,33,16,16,16,13437616,393216,13578240,92,76,0
3013,138,0,8172,2072,6100,0,76,33,16,16,16,13437616,393216,13578240,138,122,0
4004,183,0,8184,2084,6100,0,76,33,16,16,16,13437616,393216,13578240,183,167,0
5016,229,0,8184,2084,6100,0,76,33,16,16,16,13437616,393216,13578240,229,213,0
6005,273,0,8188,2088,6100,0,76,33,16,16,16,13437616,393216,13578240,273,257,0
7015,318,0,8188,2088,6100,0,76,33,16,16,16,13437616,393216,13578240,318,302,0
8017,364,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,364,348,0
9014,410,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,410,394,0
10007,455,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,455,439,0
11015,501,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,501,485,0
12018,548,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,548,532,0
13020,594,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,594,578,0
14000,639,0,8196,2096,6100,0,76,33,16,16,16,13437616,393216,13578240,639,623,0
15019,686,0,8200,2100,6100,0,76,33,16,16,16,13437616,393216,13578240,686,670,0
16002,731,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,731,715,0
17006,777,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,777,761,0
18015,823,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,823,807,0
19019,869,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,869,853,0
20008,915,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,915,899,0
21003,961,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,961,945,0
22013,1008,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,1008,992,0
23011,1054,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,1054,1038,0
24000,1100,0,8204,2104,6100,0,76,33,16,16,16,13437616,393216,13578240,1100,1084,0
25015,1146,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1146,1130,0
26000,1191,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1191,1175,0
27013,1236,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1236,1220,0
28009,1281,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1281,1265,0
29002,1326,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1326,1310,0
30020,1373,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1373,1357,0
31000,1418,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1418,1402,0
32008,1464,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1464,1448,0
33012,1510,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1510,1494,0
34001,1555,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1555,1539,0
35002,1601,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1601,1585,0
36009,1648,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1648,1632,0
37011,1694,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1694,1678,0
38017,1740,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1740,1724,0
39017,1786,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1786,1770,0
40015,1832,0,8208,2108,6100,0,76,33,16,16,16,13437616,393216,13578240,1832,1816,0
41013,1878,0,8212,2112,6100,0,76,33,16,16,16,13437616,393216,13578240,1878,1862,0
42008,1923,0,8212,2112,6100,0,76,33,16,16,16,13437616,393216,13578240,1923,1907,0
43020,1969,0,8212,2112,6100,0,76,33,16,16,16,13437616,393216,13578240,1969,1953,0
44020,2015,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2015,1999,0
45020,2060,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2060,2044,0
46017,2105,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2105,2089,0
47006,2150,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2150,2134,0
48007,2196,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2196,2180,0
49014,2242,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2242,2226,0
50000,2287,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2287,2271,0
51009,2332,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2332,2316,0
52015,2379,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2379,2363,0
53019,2425,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2425,2409,0
54016,2470,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2470,2454,0
55016,2515,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2515,2499,0
56017,2561,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2561,2545,0
57015,2607,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2607,2591,0
58016,2652,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2652,2636,0
59008,2698,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2698,2682,0
60017,2744,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2744,2728,0
61007,2789,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2789,2773,0
62006,2835,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2835,2819,0
63010,2881,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2881,2865,0
64013,2927,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2927,2911,0
65017,2973,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,2973,2957,0
66000,3018,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3018,3002,0
67016,3064,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3064,3048,0
68013,3109,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3109,3093,0
69008,3154,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3154,3138,0
70006,3199,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3199,3183,0
71013,3245,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3245,3229,0
72003,3290,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3290,3274,0
73016,3336,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3336,3320,0
74020,3382,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3382,3366,0
75000,3426,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3426,3410,0
76012,3472,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3472,3456,0
77021,3518,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3518,3502,0
78011,3564,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3564,3548,0
79002,3609,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3609,3593,0
80011,3655,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3655,3639,0
81017,3701,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3701,3685,0
82002,3747,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3747,3731,0
83005,3792,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3792,3776,0
84003,3838,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3838,3822,0
85008,3884,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3884,3868,0
86006,3930,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3930,3914,0
87007,3975,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,3975,3959,0
88016,4021,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4021,4005,0
89020,4067,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4067,4051,0
90001,4112,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4112,4096,0
91012,4158,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4158,4142,0
92015,4204,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4204,4188,0
93014,4250,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4250,4234,0
94016,4296,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4296,4280,0
95020,4342,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4342,4326,0
96005,4387,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4387,4371,0
97005,4433,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4433,4417,0
98018,4480,0,8216,2116,6100,0,76,33,16,16,16,13437616,393216,13578240,4480,4464,0
99001,4525,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4525,4509,0
100005,4571,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4571,4555,0
101020,4617,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4617,4601,0
102009,4663,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4663,4647,0
103018,4709,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4709,4693,0
104020,4755,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4755,4739,0
105001,4800,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4800,4784,0
106013,4846,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4846,4830,0
107013,4892,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4892,4876,0
108010,4938,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4938,4922,0
109018,4984,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,4984,4968,0
110004,5027,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5027,5011,0
111020,5073,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5073,5057,0
112014,5118,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5118,5102,0
113005,5163,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5163,5147,0
114006,5209,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5209,5193,0
115015,5256,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5256,5240,0
116015,5302,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5302,5286,0
117015,5347,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5347,5331,0
118013,5392,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5392,5376,0
119016,5436,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5436,5420,0
120017,5481,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5481,5465,0
121019,5526,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5526,5510,0
122019,5571,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5571,5555,0
123009,5616,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5616,5600,0
124020,5662,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5662,5646,0
125000,5707,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5707,5691,0
126000,5753,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5753,5737,0
127010,5799,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5799,5783,0
128011,5845,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5845,5829,0
129011,5891,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5891,5875,0
130002,5936,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5936,5920,0
131008,5982,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,5982,5966,0
132020,6027,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,6027,6011,0
133002,6072,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,6072,6056,0
134002,6118,0,8220,2120,6100,0,76,33,16,16,16,13437616,393216,13578240,6118,6102,0
