# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
0,0,0,7388,1096,6292,0,12,1,0,0,0,508208,393216,667648,0,0,0
1000,45,0,8344,2052,6292,0,76,33,16,16,16,13440544,393216,13582336,45,29,0
2021,92,0,8424,2132,6292,0,76,33,16,16,16,13445104,393216,13582336,92,76,0
3013,138,0,8448,2156,6292,0,76,33,16,16,16,13450320,393216,13582336,138,122,0
4004,183,0,8452,2160,6292,0,76,33,16,16,16,13454640,393216,13582336,183,167,0
5015,229,0,8492,2200,6292,0,76,33,16,16,16,13458960,393216,13582336,229,213,0
6005,274,0,8540,2248,6292,0,76,33,16,16,16,13463376,393216,13582336,274,258,0
7012,319,0,8584,2292,6292,0,76,33,16,16,16,13467696,393216,13582336,319,303,0
8003,365,0,8624,2332,6292,0,76,33,16,16,16,13472112,393216,13582336,365,349,0
9000,411,0,8664,2372,6292,0,76,33,16,16,16,13476528,393216,13582336,411,395,0
10007,456,0,8712,2420,6292,0,76,33,16,16,16,13480848,393216,13582336,456,440,0
11007,502,0,8724,2432,6292,0,76,33,16,16,16,13485264,393216,13582336,502,486,0
12011,548,0,8792,2500,6292,0,76,33,16,16,16,13489680,393216,13582336,548,532,0
13000,593,0,8832,2540,6292,0,76,33,16,16,16,13494000,393216,13582336,593,577,0
14011,639,0,9388,3096,6292,0,76,33,16,16,16,13498432,393216,13746176,639,623,0
15010,685,0,9832,3540,6292,0,76,33,16,16,16,13503280,393216,13746176,685,669,0
16016,731,0,10136,3844,6292,0,76,33,16,16,16,13507904,393216,13746176,731,715,0
17018,775,0,10348,4056,6292,0,76,33,16,16,16,13512224,393216,13746176,775,759,0
18006,820,0,10516,4224,6292,0,76,33,16,16,16,13516544,393216,13746176,820,804,0
19006,866,0,10548,4256,6292,0,76,33,16,16,16,13521056,393216,13746176,866,850,0
20011,912,0,10556,4264,6292,0,76,33,16,16,16,13525472,393216,13746176,912,896,0
21014,958,0,10692,4400,6292,0,76,33,16,16,16,13529872,393216,13746176,958,942,0
22011,1004,0,10820,4528,6292,0,76,33,16,16,16,13534192,393216,13746176,1004,988,0
23018,1050,0,10936,4644,6292,0,76,33,16,16,16,13538512,393216,13746176,1050,1034,0
24020,1096,0,10952,4660,6292,0,76,33,16,16,16,13542928,393216,13746176,1096,1080,0
25008,1141,0,10964,4672,6292,0,76,33,16,16,16,13547344,393216,13746176,1141,1125,0
26019,1188,0,10964,4672,6292,0,76,33,16,16,16,13551856,393216,13746176,1188,1172,0
27014,1232,0,11000,4708,6292,0,76,33,16,16,16,13555984,393216,13746176,1232,1216,0
28005,1277,0,11008,4716,6292,0,76,33,16,16,16,13560304,393216,13746176,1277,1261,0
29016,1323,0,11020,4728,6292,0,76,33,16,16,16,13564816,393216,13746176,1323,1307,0
30019,1369,0,11044,4752,6292,0,76,33,16,16,16,13569232,393216,13746176,1369,1353,0
31000,1414,0,11064,4772,6292,0,76,33,16,16,16,13573568,393216,13746176,1414,1398,0
32015,1461,0,11076,4784,6292,0,76,33,16,16,16,13578080,393216,13746176,1461,1445,0
33012,1507,0,11108,4816,6292,0,76,33,16,16,16,13582400,393216,13746176,1507,1491,0
34006,1552,0,11168,4876,6292,0,76,33,16,16,16,13586752,393216,13885440,1552,1536,0
35018,1598,0,11180,4888,6292,0,76,33,16,16,16,13591728,393216,13885440,1598,1582,0
36018,1642,0,11220,4928,6292,0,76,33,16,16,16,13595808,393216,13885440,1642,1626,0
37009,1686,0,11228,4936,6292,0,76,33,16,16,16,13600032,393216,13885440,1686,1670,0
